Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
66,M63B,160.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
67,M64A,156.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
68,M64B,160.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
69,M65A,156.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
70,M65B,160.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
71,M66A,156.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
72,M66B,160.925000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
73,M67A,156.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
74,M67B,160.975000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
75,M68A,156.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
76,M68B,161.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
77,M69A,156.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
78,M69B,161.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
79,M70A,156.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
80,M70B,161.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
81,M71A,156.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
82,M71B,161.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
83,M72A,156.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
84,M72B,161.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
85,M73A,156.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
86,M73B,161.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
87,M74A,156.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
88,M74B,161.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
89,M75A,156.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
90,M75B,161.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
91,M76A,156.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
92,M76B,161.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
93,M77A,156.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
94,M77B,161.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
95,M78A,156.925000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
96,M78B,161.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
97,M79A,156.975000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
98,M79B,161.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
99,M80A,157.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
100,M80B,161.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
101,M81A,157.075000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
102,M81B,161.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
103,M82A,157.125000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
104,M82B,161.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
105,M83A,157.175000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
106,M83B,161.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
107,M84A,157.225000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
108,M84B,161.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
109,M85A,157.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
110,M85B,161.875000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
111,M86A,157.325000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
112,M86B,161.925000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
113,M87A,157.375000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
114,M87B,161.975000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
115,M88A,157.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
116,M88B,162.025000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
