Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
85,ISSDOWN,145.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
86,ISSUP,437.800000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
87,ISSPKT,145.825000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
88,APRS,144.390000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
89,EMRGPKT,145.030000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
90,ALTPKT,144.990000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
91,WX01,162.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
92,WX02,162.400000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
93,WX03,162.475000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
94,WX04,162.425000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
95,WX05,162.450000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
96,WX06,162.500000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
97,WX07,162.525000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
98,WX08,161.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
99,WX09,161.775000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
100,WX10,163.275000,,0.000000,,88.5,88.5,023,NN,FM,5.00,S,,,,,
101,GMRS01,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,S,,,,,
102,GMRS02,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,S,,,,,
103,GMRS03,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,S,,,,,
104,GMRS04,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,S,,,,,
105,GMRS05,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,S,,,,,
106,GMRS06,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,S,,,,,
107,GMRS07,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,S,,,,,
108,GMRS08,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,S,,,,,
109,GMRS09,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,S,,,,,
110,GMRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,S,,,,,
111,GMRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,S,,,,,
112,GMRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,S,,,,,
113,GMRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,S,,,,,
114,GMRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,6.25,S,,,,,
115,GMRS15,462.550000,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
116,GMRS16,462.575000,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
117,GMRS17,462.600000,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
118,GMRS18,462.625000,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
119,GMRS19,462.650000,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
120,GMRS20,462.675000,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
121,GMRS21,462.700000,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
122,GMRS22,462.725000,,0.000000,,88.5,88.5,023,NN,FM,6.25,S,,,,,
